name,url,price,base_elevation_ft,peak_elevation_ft,vertical_drop_ft,slope_mi,state,skiable_acres,annual_snowfall,owner,Tram,Gondola,Pulse Gondola,Cabriolet,8-pack,6-pack,Chondola,Detach Quad,Fixed Quad,Triple,Detach Triple,Double,Single,T-Bar,J-Bar,Poma/platter,Ropetow,Carpet,total_lifts,surface_lifts_only
McIntyre,https://www.skiresort.info/ski-resort/mcintyre/,57.0,351.0,509.0,157.0,2.0,New Hampshire,37.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,4,No
Meadowlark Ski Lodge,https://www.skiresort.info/ski-resort/meadowlark-ski-lodge/,62.0,8481.0,9278.0,797.0,6.0,Wyoming,300.0,160.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,No
Meany Lodge,https://www.skiresort.info/ski-resort/meany-lodge/,60.0,2920.0,3346.0,427.0,1.0,Washington,100.0,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Middlebury College Snow Bowl,https://www.skiresort.info/ski-resort/middlebury-college-snow-bowl/,65.0,1821.0,2657.0,837.0,9.0,Vermont,110.0,200.0,Independent,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,4,No
Missaukee Mountain,https://www.skiresort.info/ski-resort/missaukee-mountain/,10.0,1253.0,1411.0,157.0,1.0,Michigan,25.0,90.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes
Mohawk Mountain,https://www.skiresort.info/ski-resort/mohawk-mountain/,81.0,919.0,1490.0,571.0,5.0,Connecticut,107.0,92.0,Independent,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,8,No
Monarch,https://www.skiresort.info/ski-resort/monarch/,139.0,10794.0,11909.0,1115.0,23.0,Colorado,800.0,350.0,Independent,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,1,7,No
Mont Ripley,https://www.skiresort.info/ski-resort/mont-ripley/,60.0,656.0,1083.0,427.0,4.0,Michigan,112.0,275.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,4,No
Mont du Lac,https://www.skiresort.info/ski-resort/mont-du-lac/,54.99,640.0,919.0,279.0,2.0,Wisconsin,20.0,55.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,No
Montage Mountain Resort,https://www.skiresort.info/ski-resort/montage-mountain-resort/,89.0,935.0,1949.0,1014.0,6.0,Pennsylvania,140.0,47.0,Independent,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,1,6,No
Montana Snowbowl,https://www.skiresort.info/ski-resort/montana-snowbowl/,79.0,4997.0,7598.0,2602.0,19.0,Montana,950.0,300.0,Independent,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,0,1,0,6,No
Moose Mountain,https://www.skiresort.info/ski-resort/moose-mountain/,55.0,679.0,1952.0,1273.0,16.0,Alaska,200.0,70.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Mount Abram,https://www.skiresort.info/ski-resort/mt-abram/,39.0,951.0,2001.0,1050.0,9.0,Maine,170.0,115.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,4,No
Mount Ashland,https://www.skiresort.info/ski-resort/mt-ashland/,79.0,6339.0,7500.0,1161.0,8.0,Oregon,240.0,300.0,Independent,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,1,6,No
Mount Ashwabay,https://www.skiresort.info/ski-resort/mt-ashwabay-salmo/,35.0,1004.0,1276.0,272.0,2.0,Wisconsin,65.0,120.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
Mount Bachelor,https://www.skiresort.info/ski-resort/mt-bachelor/,224.0,5699.0,9065.0,3366.0,61.0,Oregon,4323.0,462.0,Powdr,0,0,0,0,0,1,0,7,1,3,0,0,0,0,0,0,0,3,15,No
Mount Baker,https://www.skiresort.info/ski-resort/mt-baker/,94.27,3510.0,5105.0,1594.0,16.0,Washington,1000.0,701.0,Independent,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,9,No
Mount Baldy,https://www.skiresort.info/ski-resort/mt-baldy/,115.0,6486.0,8596.0,2110.0,12.0,California,800.0,170.0,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,4,No
Mount Bohemia,https://www.skiresort.info/ski-resort/mt-bohemia/,95.0,623.0,1460.0,837.0,8.0,Michigan,585.0,273.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,No
Mount Brighton,https://www.skiresort.info/ski-resort/mt-brighton/,117.0,935.0,1115.0,180.0,4.0,Michigan,130.0,60.0,Vail Resorts,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,2,12,No
Mount Crescent,https://www.skiresort.info/ski-resort/mt-crescent/,44.0,1201.0,1499.0,299.0,1.0,Iowa,50.0,30.0,Independent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,No
Mount Eustis,https://www.skiresort.info/ski-resort/mt-eustis-littleton/,0.0,984.0,1263.0,279.0,1.0,New Hampshire,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Mount Eyak,https://www.skiresort.info/ski-resort/mt-eyak/,30.0,400.0,1201.0,801.0,3.0,Alaska,100.0,350.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,No
Mount Holiday,https://www.skiresort.info/ski-resort/mt-holiday/,40.0,689.0,899.0,210.0,3.0,Michigan,45.0,120.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,No
Mount Holly,https://www.skiresort.info/ski-resort/mt-holly/,69.0,968.0,1247.0,279.0,4.0,Michigan,100.0,42.0,Wisconsin Resorts,0,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,4,2,13,No
Mount Hood Meadows,https://www.skiresort.info/ski-resort/mt-hood-meadows/,164.0,4521.0,7300.0,2779.0,56.0,Oregon,2150.0,430.0,Independent,0,0,0,0,0,1,0,5,1,0,0,3,0,0,0,0,0,1,11,No
Mount Hood Skibowl,https://www.skiresort.info/ski-resort/mt-hood-skibowl/,89.0,3675.0,4954.0,1280.0,40.0,Oregon,960.0,300.0,Independent,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,2,2,9,No
Mount Jefferson,https://www.skiresort.info/ski-resort/mt-jefferson/,45.0,420.0,755.0,335.0,6.0,Maine,160.0,75.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Mount Kato,https://www.skiresort.info/ski-resort/mt-kato/,59.0,791.0,1027.0,236.0,7.0,Minnesota,65.0,50.0,Independent,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,1,9,No
Mount La Crosse,https://www.skiresort.info/ski-resort/mt-la-crosse/,75.0,722.0,1220.0,499.0,4.0,Wisconsin,100.0,30.0,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,No
Mount Lemmon,https://www.skiresort.info/ski-resort/mt-lemmon-ski-valley/,69.0,8274.0,9022.0,748.0,5.0,Arizona,200.0,180.0,Independent,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,No
Mount McSauba,https://www.skiresort.info/ski-resort/mt-mcsauba/,23.0,607.0,709.0,102.0,0.4,Michigan,80.0,130.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,Yes
Mount Peter,https://www.skiresort.info/ski-resort/mount-peter/,79.0,804.0,1083.0,279.0,2.0,New York,60.0,50.0,Independent,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,6,No
Mount Pisgah,https://www.skiresort.info/ski-resort/mt-pisgah/,25.0,1772.0,2057.0,285.0,1.0,New York,15.0,60.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,Yes
Mount Pleasant,https://www.skiresort.info/ski-resort/mount-pleasant/,40.0,1181.0,1496.0,315.0,3.0,Pennsylvania,35.0,150.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,3,No
Mount Rose,https://www.skiresort.info/ski-resort/mt-rose/,179.0,7897.0,9701.0,1804.0,37.0,Nevada,1200.0,350.0,Independent,0,0,0,0,0,2,0,1,2,1,0,0,0,0,0,0,0,3,9,No
Mount Shasta Ski Park,https://www.skiresort.info/ski-resort/mt-shasta-ski-park/,99.0,5479.0,7497.0,2018.0,14.0,California,635.0,157.0,Independent,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,2,6,No
Mount Ski Gull,https://www.skiresort.info/ski-resort/mount-ski-gull/,45.0,1263.0,1453.0,190.0,1.0,Minnesota,55.0,50.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,No
Mount Snow,https://www.skiresort.info/ski-resort/mount-snow/,149.0,1919.0,3593.0,1673.0,37.0,Vermont,601.0,150.0,Vail Resorts,0,0,0,0,0,2,0,4,0,5,0,2,0,0,0,0,1,5,19,No
Mount Southington,https://www.skiresort.info/ski-resort/mt-southington/,68.0,203.0,568.0,364.0,4.0,Connecticut,51.0,80.0,Independent,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,3,7,No
Mount Spokane,https://www.skiresort.info/ski-resort/mt-spokane/,80.0,3888.0,5889.0,2001.0,16.0,Washington,1704.0,300.0,Independent,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,1,8,No
Mount Sunapee,https://www.skiresort.info/ski-resort/mt-sunapee/,119.0,1263.0,2717.0,1453.0,19.0,New Hampshire,233.0,130.0,Vail Resorts,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,3,8,No
Mount Zion Hill,https://www.skiresort.info/ski-resort/mt-zion-hill/,45.0,1427.0,1726.0,299.0,2.0,Michigan,20.0,200.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,No
Mountain Creek,https://www.skiresort.info/ski-resort/mountain-creek-vernon/,99.99,440.0,1480.0,1040.0,15.0,New Jersey,167.0,65.0,Snow Partners,0,0,0,1,0,0,0,2,2,1,0,1,0,0,0,0,0,2,9,No
Mountain High: East,https://www.skiresort.info/ski-resort/mountain-high-east/,149.0,6594.0,8189.0,1594.0,7.0,California,140.0,117.0,California Mountain Resort Company,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,1,5,No
Mountain High: West,https://www.skiresort.info/ski-resort/mountain-high-west/,149.0,6923.0,7907.0,984.0,9.0,California,140.0,117.0,California Mountain Resort Company,0,0,0,0,0,0,0,1,0,3,0,2,0,0,0,0,0,2,8,No
Mt. Waterman,https://www.skiresort.info/ski-resort/mt-waterman/,80.0,6955.0,8005.0,1050.0,6.0,California,150.0,180.0,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,No
Mulligan’s Hollow Ski Bowl,https://www.skiresort.info/ski-resort/mulligans-hollow-ski-bowl/,22.0,617.0,764.0,148.0,1.0,Michigan,7.0,60.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,Yes
Mystic Mountain,https://www.skiresort.info/ski-resort/mystic-mountain-farmington/,50.0,1729.0,2031.0,302.0,2.0,Pennsylvania,27.0,31.0,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,No
Nashoba Valley,https://www.skiresort.info/ski-resort/nashoba-valley/,80.0,190.0,420.0,230.0,4.0,Massachusetts,59.0,50.0,Independent,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,3,4,11,No
Nordic Mountain,https://www.skiresort.info/ski-resort/nordic-mountain/,80.0,928.0,1138.0,210.0,4.0,Wisconsin,60.0,60.0,Schmitz Brothers,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2,6,No
Nordic Valley,https://www.skiresort.info/ski-resort/nordic-valley/,72.0,5354.0,7064.0,1709.0,6.0,Utah,200.0,300.0,Mountain Capital Partners,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,1,5,No
Northeast Slopes,https://www.skiresort.info/ski-resort/northeast-slopes-east-corinth/,15.0,827.0,1165.0,338.0,1.0,Vermont,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3,Yes
Northstar California Resort,https://www.skiresort.info/ski-resort/northstar-california-resort/,270.0,6329.0,8609.0,2280.0,60.0,California,3170.0,350.0,Vail Resorts,0,1,1,0,0,1,1,6,1,2,0,0,0,0,0,1,1,5,20,No
Norway Mountain,https://www.skiresort.info/ski-resort/norway-mountain/,69.0,984.0,1332.0,348.0,5.0,Michigan,80.0,27.0,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,6,No
Nub’s Nob Ski Area,https://www.skiresort.info/ski-resort/nubs-nob-ski-area/,110.0,919.0,1322.0,404.0,12.0,Michigan,248.0,123.0,Independent,0,0,0,0,0,0,0,0,3,4,0,1,0,0,0,0,1,1,10,No
Oak Mountain,https://www.skiresort.info/ski-resort/oak-mountain/,56.0,1749.0,2402.0,653.0,7.0,New York,100.0,101.0,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,4,No
Ober Mountain,https://www.skiresort.info/ski-resort/ober-gatlinburg/,99.0,1362.0,2648.0,3219.0,4.0,Tennessee,38.0,35.0,Independent,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,6,No
Oglebay Resort,https://www.skiresort.info/ski-resort/oglebay-resort/,34.0,915.0,1100.0,185.0,1.0,West Virginia,,,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,No
Okemo,https://www.skiresort.info/ski-resort/okemo/,207.0,1142.0,3343.0,2201.0,43.0,Vermont,632.0,200.0,Vail Resorts,0,0,0,0,0,2,0,4,5,2,0,0,0,0,0,1,0,6,20,No
Otis Ridge,https://www.skiresort.info/ski-resort/otis-ridge/,55.0,1230.0,1575.0,344.0,2.0,Massachusetts,70.0,70.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,5,No
Otsego,https://www.skiresort.info/ski-resort/otsego-gaylord/,75.0,1086.0,1385.0,299.0,4.0,Michigan,160.0,155.0,Independent,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,5,No
Pajarito Mountain,https://www.skiresort.info/ski-resort/pajarito-mountain/,65.0,8999.0,10440.0,1440.0,16.0,New Mexico,750.0,125.0,Mountain Capital Partners,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,6,No
Palisades Tahoe,https://www.skiresort.info/ski-resort/palisades-tahoe/,290.0,6201.0,9006.0,2805.0,124.0,California,6000.0,400.0,Alterra,1,2,0,0,0,8,0,5,1,10,0,8,0,0,0,0,0,7,42,No
Paoli Peaks,https://www.skiresort.info/ski-resort/paoli-peaks/,50.0,545.0,823.0,279.0,4.0,Indiana,65.0,18.0,Vail Resorts,0,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,2,7,No
Park City,https://www.skiresort.info/ski-resort/park-city/,328.0,6801.0,10000.0,3199.0,155.0,Utah,7300.0,355.0,Vail Resorts,0,3,1,1,0,6,0,10,5,7,0,3,0,0,0,0,2,3,41,No
Pats Peak,https://www.skiresort.info/ski-resort/pats-peak/,99.0,591.0,1398.0,807.0,21.0,New Hampshire,115.0,100.0,Independent,0,0,0,0,0,0,0,0,1,3,0,2,0,0,1,0,2,2,11,No
Paul Bunyan Ski Hill,https://www.skiresort.info/ski-resort/paul-bunyan-ski-hill/,30.0,1247.0,1362.0,115.0,1.0,Wisconsin,,65.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,6,Yes
Pebble Creek,https://www.skiresort.info/ski-resort/pebble-creek/,76.0,6358.0,8560.0,2201.0,12.0,Idaho,1100.0,225.0,Independent,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,4,No
Peek’N Peak,https://www.skiresort.info/ski-resort/peekn-peak/,76.0,1411.0,1755.0,344.0,7.0,New York,105.0,200.0,Independent,0,0,0,0,0,0,0,0,0,6,0,2,0,0,0,0,0,3,11,No
Perfect North Slopes,https://www.skiresort.info/ski-resort/perfect-north-slopes/,72.0,400.0,801.0,400.0,3.0,Indiana,100.0,18.0,The Perfect Family,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,5,12,No
Pico Mountain,https://www.skiresort.info/ski-resort/pico-mountain/,124.0,2001.0,3967.0,1965.0,19.0,Vermont,468.0,250.0,Powdr,0,0,0,0,0,0,0,2,0,2,0,2,0,0,0,0,0,1,7,No
Pine Creek,https://www.skiresort.info/ski-resort/pine-creek/,65.0,6873.0,8228.0,1355.0,10.0,Wyoming,370.0,150.0,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,No
Pine Knob,https://www.skiresort.info/ski-resort/pine-knob/,69.0,1017.0,1286.0,269.0,3.0,Michigan,80.0,60.0,Wisconsin Resorts,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,3,13,No
Pine Mountain,https://www.skiresort.info/ski-resort/pine-mountain/,69.0,1148.0,1512.0,364.0,6.0,Michigan,80.0,60.0,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,3,0,6,No
Pinnacle Park,https://www.skiresort.info/ski-resort/pinnacle-park-pittsfield/,20.0,240.0,315.0,75.0,0.4,Maine,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,Yes
Plattekill,https://www.skiresort.info/ski-resort/plattekill/,98.0,2283.0,3327.0,1043.0,10.0,New York,75.0,175.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,3,No
Pleasant Mountain,https://www.skiresort.info/ski-resort/pleasant-mountain/,95.0,525.0,1804.0,1280.0,14.0,Maine,249.0,110.0,Boyne Resorts,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,2,6,No
Pomerelle,https://www.skiresort.info/ski-resort/pomerelle/,68.0,7736.0,8661.0,925.0,9.0,Idaho,500.0,500.0,Independent,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,3,No
Porcupine Mountain,https://www.skiresort.info/ski-resort/porcupine-mountain/,45.0,735.0,1365.0,630.0,6.0,Michigan,250.0,200.0,Independent,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,No
Powder Mountain,https://www.skiresort.info/ski-resort/powder-mountain/,219.0,6893.0,8901.0,2008.0,42.0,Utah,8464.0,400.0,Independent,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,1,1,1,13,No
Powder Ridge (Minnesota),https://www.skiresort.info/ski-resort/powder-ridge/,55.0,1168.0,1417.0,249.0,2.0,Minnesota,60.0,45.0,Independent,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,3,0,7,No
Powder Ridge Mountain Park (Connecticut),https://www.skiresort.info/ski-resort/powder-ridge-mountain-park-resort/,59.0,377.0,804.0,427.0,3.0,Connecticut,80.0,38.0,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,2,5,No
Powderhorn,https://www.skiresort.info/ski-resort/powderhorn/,119.0,8199.0,9843.0,1644.0,24.0,Colorado,1600.0,250.0,Pacific Group Resorts,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,2,5,No
Powderhouse Hill,https://www.skiresort.info/ski-resort/powderhouse-hill-south-berwick/,5.0,121.0,262.0,141.0,0.3,Maine,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Powers Bluff,https://www.skiresort.info/ski-resort/powers-bluff/,13.0,1312.0,1430.0,118.0,1.0,Wisconsin,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Purgatory,https://www.skiresort.info/ski-resort/purgatory-durango/,129.0,8793.0,10823.0,2031.0,53.0,Colorado,1635.0,260.0,Mountain Capital Partners,0,0,0,0,0,1,0,2,0,4,0,3,0,0,0,0,0,2,12,No
Quechee Lakes Ski Area,https://www.skiresort.info/ski-resort/quechee-lakes-ski-area/,57.0,650.0,1247.0,597.0,3.0,Vermont,,,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,No
Quoggy Joe Ski Center,https://www.skiresort.info/ski-resort/quoggy-jo-ski-center-presque-isle/,15.0,712.0,902.0,190.0,0.4,Maine,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Yes
Ragged Mountain,https://www.skiresort.info/ski-resort/ragged-mountain/,119.0,1115.0,2231.0,1115.0,14.0,New Hampshire,224.0,100.0,Pacific Group Resorts,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3,No
Red Hill – Moultonborough,https://www.skiresort.info/ski-resort/red-hill-moultonborough/,25.0,627.0,853.0,226.0,1.0,New Hampshire,,,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Yes
Red Lodge Mountain,https://www.skiresort.info/ski-resort/red-lodge-mountain/,107.0,7014.0,9416.0,2402.0,40.0,Montana,1635.0,250.0,JMA Ventures,0,0,0,0,0,0,0,2,0,1,1,2,0,0,0,0,0,2,8,No
Red River,https://www.skiresort.info/ski-resort/red-river/,129.0,8661.0,10285.0,1624.0,12.0,New Mexico,209.0,214.0,Independent,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,2,0,7,No
Rotarun,https://www.skiresort.info/ski-resort/rotarun/,15.0,5482.0,5873.0,390.0,3.0,Idaho,15.0,100.0,Independent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,Yes
Roundtop,https://www.skiresort.info/ski-resort/roundtop/,117.0,755.0,1345.0,591.0,5.0,Pennsylvania,103.0,30.0,Vail Resorts,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,0,0,3,9,No
Royal Mountain,https://www.skiresort.info/ski-resort/royal-mountain/,60.0,1201.0,1775.0,574.0,5.0,New York,40.0,90.0,Independent,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,4,No
Saddleback,https://www.skiresort.info/ski-resort/saddleback/,139.0,2119.0,4003.0,1883.0,14.0,Maine,600.0,225.0,Independent,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,1,6,No
Sapphire Valley,https://www.skiresort.info/ski-resort/sapphire-valley/,68.0,3163.0,3297.0,135.0,0.5,North Carolina,8.0,24.0,Independent,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,No
Saskadena Six,https://www.skiresort.info/ski-resort/saskadena-six/,109.0,722.0,1348.0,627.0,7.0,Vermont,100.0,90.0,Independent,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,3,No
Sawmill Mountain Resort,https://www.skiresort.info/ski-resort/sawmill-mountain-resort/,59.0,1673.0,2034.0,361.0,3.0,Pennsylvania,15.0,24.0,Independent,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,4,No
Schweitzer Mountain Resort,https://www.skiresort.info/ski-resort/schweitzer-mountain-resort/,150.0,3957.0,6398.0,2441.0,40.0,Idaho,2900.0,300.0,Alterra,0,0,0,0,0,1,0,4,0,2,0,1,0,1,0,0,0,1,10,No
Seven Oaks,https://www.skiresort.info/ski-resort/seven-oaks/,48.0,909.0,1083.0,174.0,2.0,Iowa,35.0,40.0,Independent,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,5,No
Seven Springs,https://www.skiresort.info/ski-resort/seven-springs/,111.0,2264.0,3002.0,738.0,11.0,Pennsylvania,285.0,135.0,Vail Resorts,0,0,0,0,0,2,0,0,4,4,0,0,0,0,0,0,1,3,14,No
Shanty Creek Resorts – Schuss Mountain,https://www.skiresort.info/ski-resort/shanty-creek-resorts-schuss-mountain/,96.0,820.0,1168.0,348.0,7.0,Michigan,80.0,160.0,Independent,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,1,1,9,No
Shawnee Mountain,https://www.skiresort.info/ski-resort/shawnee-mountain/,85.0,476.0,1148.0,673.0,11.0,Pennsylvania,120.0,50.0,Independent,0,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,3,9,No
Showdown,https://www.skiresort.info/ski-resort/showdown/,68.0,6857.0,8202.0,1345.0,12.0,Montana,640.0,255.0,Independent,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,4,No
Sierra at Tahoe,https://www.skiresort.info/ski-resort/sierra-at-tahoe/,175.0,6640.0,8852.0,2211.0,29.0,California,2000.0,480.0,Independent,0,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,5,14,No
Silver Mountain,https://www.skiresort.info/ski-resort/silver-mountain/,77.0,2300.0,4101.0,6299.0,16.0,Idaho,1600.0,300.0,CMR Lands,0,1,0,0,0,0,0,0,1,2,0,2,0,0,0,0,0,0,6,No
Silverton Mountain,https://www.skiresort.info/ski-resort/silverton-mountain/,269.0,10325.0,12434.0,2110.0,,Colorado,1819.0,400.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,No
Sipapu,https://www.skiresort.info/ski-resort/sipapu/,72.0,8202.0,9268.0,1066.0,11.0,New Mexico,205.0,190.0,Mountain Capital Partners,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,2,6,No
Sitzmark Ski Mountain,https://www.skiresort.info/ski-resort/sitzmark/,50.0,4364.0,4872.0,509.0,5.0,Washington,80.0,60.0,Independent,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,No
